"","idNum","date","problem","MDC","citationIssued","personSearch","vehicleSearch","preRace","race","gender","lat","long","policePrecinct","neighborhood"
"6855","17-000414",2017-01-01 04:00:02,"suspicious","other",NA,NA,NA,NA,NA,NA,44.97246,-93.26489,1,"Elliot Park"
"6856","17-000421",2017-01-01 04:05:54,"suspicious","other",NA,NA,NA,NA,NA,NA,44.9915029,-93.30508811,4,"Willard - Hay"
"6857","17-000426",2017-01-01 04:20:33,"suspicious","other",NA,NA,NA,NA,NA,NA,44.90900519,-93.21456322,3,"Minnehaha"
"6858","17-000429",2017-01-01 04:27:38,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.94473,-93.28814,5,"Lyndale"
"6860","17-000473",2017-01-01 05:46:55,"traffic","MDC",NA,"NO","NO","Unknown","Asian","Male",45.01266897,-93.24734147,2,"Windom Park"
"6861","17-000488",2017-01-01 06:47:07,"suspicious","MDC",NA,"NO","NO","Black","Unknown","Unknown",44.94044075,-93.27791575,5,"Lyndale"
"6862","17-000522",2017-01-01 08:31:30,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",45.00482,-93.29564,4,"Jordan"
"6863","17-000536",2017-01-01 09:02:59,"suspicious","MDC",NA,"NO","NO","Black","Unknown","Male",44.97092,-93.25508,1,"Downtown East"
"6864","17-000547",2017-01-01 09:48:36,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.938634,-93.24228094,3,"Corcoran"
"6865","17-000549",2017-01-01 09:51:43,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.93773,-93.24058,3,"Standish"
"6866","17-000571",2017-01-01 10:35:17,"traffic","other",NA,NA,NA,NA,NA,NA,44.99914,-93.29105,4,"Near - North"
"6867","17-000576",2017-01-01 10:41:29,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",45.04118133,-93.29786418,4,"Lind - Bohanon"
"6868","17-000601",2017-01-01 11:49:49,"suspicious","other",NA,NA,NA,NA,NA,NA,45.0212088,-93.28804287,4,"McKinley"
"6869","17-000619",2017-01-01 12:43:26,"suspicious","MDC",NA,"YES","NO","Unknown","Black","Male",45.04842509,-93.29406668,4,"Lind - Bohanon"
"6870","17-000628",2017-01-01 13:02:57,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.94660001,-93.28366611,5,"Lyndale"
"6871","17-000637",2017-01-01 13:24:55,"suspicious","MDC",NA,"NO","NO","Other","Other","Unknown",44.93769702,-93.28627059,5,"King Field"
"6872","17-000639",2017-01-01 13:34:06,"suspicious","MDC",NA,"NO","NO","Other","Other","Unknown",44.93950519,-93.29265128,5,"CARAG"
"6873","17-000646",2017-01-01 13:41:02,"suspicious","MDC",NA,"NO","NO","Other","Other","Unknown",44.94040713,-93.29200498,5,"CARAG"
"6874","17-000651",2017-01-01 13:47:54,"suspicious","other",NA,NA,NA,NA,NA,NA,45.03939592,-93.29015499,4,"Lind - Bohanon"
"6875","17-000668",2017-01-01 14:38:12,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.92955277,-93.28438902,5,"King Field"
"6876","17-000713",2017-01-01 15:36:30,"suspicious","MDC",NA,"YES","NO","Unknown","Native American","Male",44.95373,-93.25627,3,"Midtown Phillips"
"6877","17-000715",2017-01-01 15:38:36,"suspicious","MDC",NA,"NO","NO","Black","Unknown","Male",44.96772584,-93.28135089,1,"Loring Park"
"6878","17-000744",2017-01-01 16:46:47,"traffic","other",NA,NA,NA,NA,NA,NA,44.8949328,-93.2781055,5,"Windom"
"6879","17-000761",2017-01-01 16:57:17,"traffic","MDC",NA,"NO","NO","Unknown","Black","Female",44.99198,-93.29412,4,"Near - North"
"6880","17-000824",2017-01-01 17:53:52,"suspicious","other",NA,NA,NA,NA,NA,NA,45.02304272,-93.29058037,4,"McKinley"
"6881","17-000828",2017-01-01 17:57:04,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.97994,-93.23441,2,"Marcy Holmes"
"6882","17-000837",2017-01-01 18:07:06,"traffic","MDC",NA,"NO","NO","White","White","Female",44.94836,-93.25505,3,"Midtown Phillips"
"6883","17-000848",2017-01-01 18:27:18,"suspicious","other",NA,NA,NA,NA,NA,NA,44.95777922,-93.21193648,2,"Prospect Park - East River Road"
"6884","17-000878",2017-01-01 18:52:36,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.99162624,-93.21137653,2,"Mid - City Industrial"
"6885","17-000880",2017-01-01 18:53:44,"traffic","MDC",NA,"NO","NO","Unknown","East African","Male",44.9564318,-93.28550353,5,"Whittier"
"6886","17-000894",2017-01-01 19:04:14,"suspicious","MDC",NA,"YES","YES","Unknown","Black","Female",44.99914804,-93.29181556,4,"Near - North"
"6887","17-000899",2017-01-01 19:07:14,"traffic","MDC",NA,"NO","NO","Unknown","East African","Male",44.96269,-93.26895,3,"Ventura Village"
"6888","17-001010",2017-01-01 20:16:32,"traffic","MDC",NA,"NO","NO","Black","Black","Female",44.95646,-93.24735,3,"East Phillips"
"6889","17-001021",2017-01-01 20:29:19,"traffic","other",NA,NA,NA,NA,NA,NA,44.94149948,-93.27431455,3,"Central"
"6890","17-001061",2017-01-01 20:59:02,"traffic","MDC",NA,"NO","NO","Unknown","East African","Male",45.03554,-93.26289,2,"Columbia Park"
"6891","17-001087",2017-01-01 21:27:17,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.93863463,-93.2779141,5,"Lyndale"
"6892","17-001099",2017-01-01 21:32:42,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.98355662,-93.3134127,4,"Harrison"
"6893","17-001165",2017-01-01 22:26:58,"suspicious","MDC",NA,"NO","NO","Unknown","Black","Male",44.96091,-93.26511,3,"Ventura Village"
"6894","17-001189",2017-01-01 22:48:16,"traffic","MDC",NA,"NO","NO","White","White","Female",44.98136499,-93.21368718,2,"Como"
"6895","17-001190",2017-01-01 22:48:32,"suspicious","MDC",NA,"NO","NO","White","White","Male",44.95642818,-93.27786411,5,"Whittier"
"6896","17-001203",2017-01-01 22:59:11,"traffic","other",NA,NA,NA,NA,NA,NA,44.99507936,-93.25561273,2,"St. Anthony East"
"6897","17-001206",2017-01-01 23:01:52,"traffic","MDC",NA,"NO","NO","Unknown","Other","Male",44.96826233,-93.28186087,1,"Loring Park"
"6898","17-001210",2017-01-01 23:06:49,"suspicious","MDC",NA,"NO","NO","Unknown","White","Male",44.98355662,-93.3134127,4,"Harrison"
"6899","17-001220",2017-01-01 23:11:39,"suspicious","MDC",NA,"YES","NO","Black","Black","Male",44.96091889,-93.2937258,5,"East Isles"
"6900","17-001218",2017-01-01 23:12:07,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.9386021,-93.29838599,5,"CARAG"
"6901","17-001225",2017-01-01 23:14:50,"suspicious","MDC",NA,"NO","NO","Unknown","White","Male",44.95196,-93.2868,5,"Whittier"
"6902","17-001231",2017-01-01 23:19:41,"suspicious","MDC",NA,"NO","NO","Unknown","White","Male",44.94835,-93.27668,5,"Whittier"
"6903","17-001244",2017-01-01 23:39:57,"suspicious","MDC",NA,"NO","NO","White","White","Male",44.94044075,-93.27791575,5,"Lyndale"
"6904","17-001246",2017-01-01 23:42:53,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.89527691,-93.31628325,5,"Armatage"
"6905","17-001247",2017-01-01 23:43:07,"traffic","MDC",NA,"NO","NO","Unknown","Black","Male",45.02664866,-93.28807926,4,"Webber - Camden"
"6906","17-001248",2017-01-01 23:43:34,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",45.01759598,-93.28650355,4,"McKinley"
"6907","17-001249",2017-01-01 23:44:46,"traffic","MDC",NA,"NO","NO","Black","Black","Male",44.96269,-93.27656,5,"Steven's Square - Loring Heights"
"6908","17-001250",2017-01-01 23:45:03,"suspicious","MDC",NA,"YES","NO","Native American","Native American","Female",44.95779751,-93.24733141,3,"East Phillips"
"6909","17-001251",2017-01-01 23:45:15,"traffic","other",NA,NA,NA,NA,NA,NA,44.97134,-93.24702,1,"Cedar Riverside"
"6910","17-001259",2017-01-01 23:53:44,"traffic","MDC",NA,"YES","YES","Unknown","Black","Male",45.00783,-93.30821,4,"Jordan"
"6911","17-001264",2017-01-01 23:57:43,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",45.01107619,-93.26950762,2,"Bottineau"
"6912","17-001269",2017-01-02 00:03:27,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.89927,-93.24731,3,"Diamond Lake"
"6913","17-001289",2017-01-02 00:15:37,"suspicious","other",NA,NA,NA,NA,NA,NA,45.00494669,-93.27152318,2,"Sheridan"
"6914","17-001314",2017-01-02 00:32:10,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.95284615,-93.25247076,3,"Midtown Phillips"
"6915","17-001324",2017-01-02 00:43:48,"traffic","MDC",NA,"NO","NO","White","White","Male",44.9951,-93.24225,2,"Beltrami"
"6916","17-001327",2017-01-02 00:54:30,"traffic","other",NA,NA,NA,NA,NA,NA,45.00307,-93.26616,2,"Sheridan"
"6917","17-001340",2017-01-02 01:11:27,"suspicious","other",NA,NA,NA,NA,NA,NA,44.98078144,-93.27429567,1,"Downtown West"
"6918","17-001360",2017-01-02 01:39:43,"suspicious","MDC",NA,"NO","NO","Unknown","White","Male",44.96747488,-93.27781525,1,"Loring Park"
"6919","17-001361",2017-01-02 01:43:49,"traffic","MDC",NA,"NO","NO","Unknown","Other","Male",44.95374,-93.28552,5,"Whittier"
"6920","17-001375",2017-01-02 02:05:46,"suspicious","MDC",NA,"NO","NO","Unknown","Black","Male",44.98080828,-93.27314066,1,"Downtown West"
"6921","17-001376",2017-01-02 02:07:06,"traffic","MDC",NA,"NO","NO","Unknown","East African","Male",44.95195,-93.28299,5,"Whittier"
"6922","17-001395",2017-01-02 02:36:58,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",45.02499559,-93.30835804,4,"Victory"
"6923","17-001408",2017-01-02 03:00:01,"traffic","MDC",NA,"NO","NO","Black","Black","Male",44.96180795,-93.28800649,5,"Lowry Hill East"
"6924","17-001415",2017-01-02 03:17:26,"traffic","MDC",NA,"NO","NO","Unknown","Black","Male",44.94835,-93.26522,3,"Phillips West"
"6925","17-001417",2017-01-02 03:22:20,"suspicious","MDC",NA,"NO","NO","Unknown","Black","Female",44.97792701,-93.2795086,1,"Downtown West"
"6926","17-001424",2017-01-02 03:31:34,"traffic","MDC",NA,"NO","NO","Unknown","East African","Male",44.97632,-93.26163,1,"Downtown West"
"6927","17-001429",2017-01-02 03:38:22,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.9099012,-93.22030418,3,"Minnehaha"
"6928","17-001433",2017-01-02 03:50:30,"traffic","MDC",NA,"YES","YES","Unknown","Black","Male",45.00599,-93.30189,4,"Jordan"
"6929","17-001454",2017-01-02 05:43:15,"suspicious","other",NA,NA,NA,NA,NA,NA,44.9099012,-93.22030418,3,"Minnehaha"
"6931","17-001457",2017-01-02 05:59:24,"suspicious","other",NA,NA,NA,NA,NA,NA,44.95777856,-93.29509939,5,"Lowry Hill East"
"6932","17-001472",2017-01-02 07:21:55,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.93139645,-93.27791653,5,"King Field"
"6933","17-001475",2017-01-02 07:35:34,"traffic","MDC",NA,"NO","NO","Unknown","Black","Male",44.91873473,-93.27795772,5,"Tangletown"
"6934","17-001491",2017-01-02 08:21:53,"traffic","MDC",NA,"NO","NO","Black","Black","Male",44.99871,-93.25626,2,"St. Anthony East"
"6936","17-001545",2017-01-02 10:18:02,"traffic","MDC",NA,"YES","YES","Black","Black","Male",45.01317,-93.26465,2,"Bottineau"
"6937","17-001551",2017-01-02 10:28:03,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.92772137,-93.29082674,5,"East Harriet"
"6938","17-001553",2017-01-02 10:35:29,"traffic","MDC",NA,"NO","NO","Unknown","Asian","Male",44.94836,-93.2881,5,"Lowry Hill East"
"6939","17-001558",2017-01-02 10:40:48,"suspicious","MDC",NA,"NO","NO","Unknown","Latino","Male",44.94834,-93.27969,5,"Whittier"
"6940","17-001562",2017-01-02 10:50:27,"suspicious","MDC",NA,"NO","NO","Unknown","East African","Male",44.94955167,-93.28134598,5,"Whittier"
"6941","17-001591",2017-01-02 11:20:19,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",45.04759,-93.30931,4,"Shingle Creek"
"6942","17-001598",2017-01-02 11:27:13,"suspicious","MDC",NA,"NO","NO","Black","Black","Male",45.02047,-93.31081,4,"Cleveland"
"6943","17-001601",2017-01-02 11:28:17,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.95553,-93.27659,5,"Whittier"
"6946","17-001619",2017-01-02 11:58:41,"suspicious","MDC",NA,"NO","NO","Black","Black","Male",44.94958302,-93.27664165,5,"Whittier"
"6947","17-001629",2017-01-02 12:12:50,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.95195,-93.28426,5,"Whittier"
"6948","17-001630",2017-01-02 12:20:52,"suspicious","other",NA,NA,NA,NA,NA,NA,44.9627,-93.26255,3,"Ventura Village"
"6949","17-001631",2017-01-02 12:22:06,"suspicious","MDC",NA,"NO","NO","White","White","Male",44.94834704,-93.27880784,5,"Lyndale"
"6950","17-001638",2017-01-02 12:27:03,"traffic","MDC",NA,"NO","NO","White","White","Female",44.92159466,-93.27430491,3,"Regina"
"6951","17-001643",2017-01-02 12:31:33,"traffic","MDC",NA,"YES","NO","White","White","Male",45.01316,-93.25914,2,"Holland"
"6952","17-001651",2017-01-02 12:43:16,"suspicious","MDC",NA,"NO","NO","Native American","Native American","Male",44.96332683,-93.27781326,5,"Steven's Square - Loring Heights"
"6953","17-001659",2017-01-02 12:51:33,"traffic","MDC",NA,"NO","NO","White","White","Male",44.98021301,-93.23509281,2,"Marcy Holmes"
"6954","17-001689",2017-01-02 13:36:36,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.91517938,-93.31886431,5,"Fulton"
"6956","17-001696",2017-01-02 13:53:16,"suspicious","MDC",NA,"NO","NO","White","White","Male",44.94835457,-93.28218485,5,"Lyndale"
"6958","17-001704",2017-01-02 14:03:05,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.92242878,-93.31890146,5,"Linden Hills"
"6959","17-001717",2017-01-02 14:19:54,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Male",44.9833096,-93.27077411,1,"Downtown West"
"6960","17-001720",2017-01-02 14:25:13,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",45.04759,-93.30931,4,"Shingle Creek"
"6961","17-001721",2017-01-02 14:25:33,"suspicious","MDC",NA,"NO","NO","Black","Black","Male",45.03853,-93.2875,4,"Lind - Bohanon"
"6962","17-001759",2017-01-02 15:20:38,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",45.03043868,-93.2893657,4,"Webber - Camden"
"6963","17-001770",2017-01-02 15:29:25,"suspicious","MDC",NA,"NO","NO","White","White","Male",44.95015004,-93.27536654,5,"Whittier"
"6964","17-001771",2017-01-02 15:31:32,"suspicious","MDC",NA,"NO","NO","Unknown","Black","Male",45.01266624,-93.24912093,2,"Holland"
"6965","17-001782",2017-01-02 15:41:07,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",45.03043868,-93.2893657,4,"Webber - Camden"
"6966","17-001784",2017-01-02 15:43:50,"suspicious","MDC",NA,"YES","NO","Latino","Latino","Male",44.95074395,-93.27878964,5,"Whittier"
"6967","17-001792",2017-01-02 15:56:31,"suspicious","MDC",NA,"NO","NO","Black","Unknown","Male",44.95195,-93.25374,3,"Midtown Phillips"
"6968","17-001808",2017-01-02 16:15:28,"suspicious","other",NA,NA,NA,NA,NA,NA,44.98485046,-93.24510888,2,"Marcy Holmes"
"6969","17-001818",2017-01-02 16:33:01,"suspicious","MDC",NA,"YES","NO","Unknown","Black","Male",44.99968546,-93.2879891,4,"Hawthorne"
"6970","17-001821",2017-01-02 16:41:52,"traffic","MDC",NA,"NO","NO","Unknown","Latino","Male",44.94835309,-93.2760326,5,"Whittier"
"6971","17-001852",2017-01-02 17:22:19,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.95284261,-93.27965923,5,"Whittier"
"6972","17-001856",2017-01-02 17:28:13,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.95282851,-93.27314723,5,"Whittier"
"6974","17-001882",2017-01-02 17:50:28,"suspicious","MDC",NA,"NO","NO","White","White","Male",45.03775604,-93.30916026,4,"Victory"
"6975","17-001887",2017-01-02 17:54:08,"traffic","MDC",NA,"NO","NO","Unknown","Black","Male",45.00593,-93.24915,2,"Logan Park"
"6976","17-001903",2017-01-02 18:02:58,"traffic","other",NA,NA,NA,NA,NA,NA,44.98271,-93.24132,2,"Marcy Holmes"
"6977","17-001925",2017-01-02 18:29:27,"traffic","other",NA,NA,NA,NA,NA,NA,45.03775604,-93.30916026,4,"Victory"
"6978","17-001931",2017-01-02 18:32:50,"suspicious","MDC",NA,"NO","NO","Unknown","White","Male",44.89304316,-93.27938185,5,"Windom"
"6979","17-001967",2017-01-02 19:07:59,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.94836,-93.29828,5,"ECCO"
"6980","17-001978",2017-01-02 19:18:55,"suspicious","MDC",NA,"YES","NO","Black","Black","Male",44.99913768,-93.28875577,4,"Hawthorne"
"6981","17-001986",2017-01-02 19:23:21,"suspicious","other",NA,NA,NA,NA,NA,NA,45.02485438,-93.29059709,4,"Webber - Camden"
"6982","17-002015",2017-01-02 19:39:32,"suspicious","MDC",NA,"YES","NO","Unknown","White","Male",45.00111564,-93.24099042,2,"Northeast Park"
"6983","17-002018",2017-01-02 19:41:24,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.99149,-93.24095,2,"Como"
"6984","17-002061",2017-01-02 20:22:56,"suspicious","MDC",NA,"NO","NO","Unknown","Native American","Female",44.96932975,-93.28185409,1,"Loring Park"
"6985","17-002113",2017-01-02 20:52:18,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.9641117,-93.22802405,3,"Seward"
"6986","17-002129",2017-01-02 20:59:40,"suspicious","MDC",NA,"NO","NO","Unknown","Black","Male",44.97688559,-93.28037165,1,"Downtown West"
"6987","17-002139",2017-01-02 21:11:19,"suspicious","other",NA,NA,NA,NA,NA,NA,44.97801922,-93.27702537,1,"Downtown West"
"6988","17-002174",2017-01-02 21:32:56,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.92873,-93.24606,3,"Standish"
"6989","17-002176",2017-01-02 21:36:23,"traffic","MDC",NA,"NO","NO","Black","Black","Male",44.94044075,-93.27791575,5,"Lyndale"
"6991","17-002187",2017-01-02 21:44:20,"suspicious","MDC",NA,"NO","NO","Black","Black","Male",44.94044075,-93.27791575,5,"Lyndale"
"6992","17-002190",2017-01-02 21:46:12,"suspicious","MDC",NA,"NO","NO","White","White","Male",44.97076328,-93.24725145,1,"Cedar Riverside"
"6993","17-002220",2017-01-02 22:11:55,"traffic","MDC",NA,"NO","NO","Black","Black","Male",44.94841574,-93.32280644,5,"Cedar - Isles - Dean"
"6994","17-002259",2017-01-02 22:38:39,"suspicious","MDC",NA,"YES","NO","Black","Black","Male",44.97845913,-93.27733144,1,"Downtown West"
"6995","17-002281",2017-01-02 22:55:26,"suspicious","MDC",NA,"YES","NO","Unknown","Unknown","Male",44.9572173,-93.24485196,3,"East Phillips"
"6996","17-002293",2017-01-02 23:02:16,"suspicious","MDC",NA,"NO","NO","Unknown","White","Male",44.9627,-93.29179,5,"Lowry Hill"
"6997","17-002296",2017-01-02 23:03:42,"traffic","MDC",NA,"NO","NO","Unknown","East African","Female",44.9768075,-93.27643103,1,"Downtown West"
"6998","17-002310",2017-01-02 23:11:31,"traffic","MDC",NA,"NO","NO","White","White","Female",44.96316564,-93.28807331,5,"Steven's Square - Loring Heights"
"6999","17-002312",2017-01-02 23:12:17,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",45.03041294,-93.23398346,2,"Waite Park"
"7001","17-002315",2017-01-02 23:15:37,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",45.01316,-93.24912,2,"Holland"
"7002","17-002339",2017-01-02 23:38:47,"traffic","MDC",NA,"NO","NO","Unknown","East African","Male",44.94660622,-93.28748225,5,"Lyndale"
"7003","17-002340",2017-01-02 23:39:10,"traffic","MDC",NA,"NO","NO","Unknown","Latino","Male",44.9513432,-93.27966979,5,"Whittier"
"7004","17-002342",2017-01-02 23:39:30,"traffic","MDC",NA,"NO","NO","Black","Black","Male",44.93863463,-93.2779141,5,"Lyndale"
"7005","17-002362",2017-01-03 00:07:06,"suspicious","MDC",NA,"NO","NO","Unknown","White","Female",44.95733,-93.2855,5,"Whittier"
"7007","17-002386",2017-01-03 00:37:46,"suspicious","MDC",NA,"NO","NO","Unknown","Black","Male",45.00930468,-93.26616923,2,"Bottineau"
"7008","17-002396",2017-01-03 00:52:30,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.97430098,-93.25223244,1,"Downtown East"
"7009","17-002421",2017-01-03 01:29:56,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.96986,-93.27933,1,"Loring Park"
"7010","17-002424",2017-01-03 01:35:38,"traffic","MDC",NA,"NO","NO","Unknown","East African","Female",44.97080927,-93.27339651,1,"Downtown West"
"7012","17-002445",2017-01-03 02:20:07,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.93769206,-93.28756025,5,"King Field"
"7013","17-002453",2017-01-03 02:27:14,"suspicious","MDC",NA,"NO","NO","Black","Black","Male",44.9800647,-93.27188308,1,"Downtown West"
"7014","17-002466",2017-01-03 02:44:58,"suspicious","other",NA,NA,NA,NA,NA,NA,44.97677369,-93.27736013,1,"Downtown West"
"7015","17-002495",2017-01-03 04:08:11,"suspicious","other",NA,NA,NA,NA,NA,NA,44.90085942,-93.21783647,3,"Morris Park"
"7016","17-002519",2017-01-03 06:00:51,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.91144236,-93.27463391,3,"Field"
"7017","17-002531",2017-01-03 07:07:36,"suspicious","MDC",NA,"NO","NO","White","Unknown","Male",45.03564138,-93.23268357,2,"Waite Park"
"7018","17-002534",2017-01-03 07:13:11,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.95680675,-93.29584001,5,"Lowry Hill East"
"7019","17-002537",2017-01-03 07:15:20,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.95641322,-93.29659612,5,"East Isles"
"7020","17-002548",2017-01-03 07:36:18,"traffic","MDC",NA,"YES","NO","Native American","Native American","Female",44.9483642,-93.29001302,5,"CARAG"
